unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
PCH_PRE,FRZ	: 	-0.8 	0.1 	-0.5 	-2.7 	-1.1 	-50.9 	-2.9 	198.1 	-6.4 	-7.9 	-4.0 	2.7 	6.5 	: 
PCH_PRE,FRZZ	: 	-0.8 	0.1 	-0.5 	-2.7 	-1.1 	-50.9 	-2.9 	198.1 	-6.4 	-7.9 	-4.0 	2.7 	6.5 	: 
PCH_PRE,HR	-0.1 	-1.1 	-3.2 	0.0 	-2.5 	-6.3 	2.4 	5.0 	4.7 	4.0 	4.3 	5.6 	5.2 	3.5 	2.7 
PCH_PRE,HR0	-0.1 	-1.1 	-3.2 	0.0 	-2.5 	-6.3 	2.4 	5.0 	4.7 	4.0 	4.3 	5.6 	5.2 	3.5 	2.7 
PCH_PRE,HU	3.8 	2.5 	-1.8 	1.9 	0.8 	-6.6 	0.7 	0.3 	3.8 	4.3 	4.9 	3.9 	4.5 	3.9 	4.1 
PCH_PRE,IE	5.5 	0.5 	-0.7 	0.9 	1.0 	-3.9 	-1.7 	5.0 	6.8 	5.0 	4.0 	2.9 	5.4 	5.9 	9.5 
PCH_PRE,IE0	5.5 	0.5 	-0.7 	0.9 	1.0 	-3.9 	-1.7 	5.0 	6.8 	5.0 	4.0 	2.9 	5.4 	5.9 	9.5 
PCH_PRE,IT	-0.2 	-1.5 	-2.4 	0.6 	1.7 	-5.5 	-0.8 	1.6 	1.9 	0.8 	1.6 	0.1 	0.3 	1.7 	3.8 
PCH_PRE,LT	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LT0	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LT00	3.0 	3.5 	3.8 	6.0 	1.6 	-14.8 	2.6 	11.1 	7.4 	7.7 	6.6 	10.5 	6.8 	6.5 	3.8 
PCH_PRE,LU	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LU0	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LU00	3.6 	4.2 	-1.2 	2.0 	6.0 	-5.7 	-1.1 	8.5 	5.6 	2.8 	4.1 	1.1 	3.5 	2.7 	: 
PCH_PRE,LV	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,LV0	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,LV00	2.1 	2.5 	3.3 	6.2 	-4.4 	-12.0 	-1.9 	9.2 	11.3 	10.9 	8.3 	8.4 	7.3 	6.6 	5.2 
PCH_PRE,MK	6.6 	3.9 	-0.7 	1.9 	3.4 	-0.3 	5.7 	5.9 	4.5 	4.2 	4.6 	2.6 	1.2 	-2.7 	: 
PCH_PRE,MK0	6.6 	3.9 	-0.7 	1.9 	3.4 	-0.3 	5.7 	5.9 	4.5 	4.2 	4.6 	2.6 	1.2 	-2.7 	: 
PCH_PRE,MK00	6.6 	4.0 	-0.7 	1.9 	3.4 	-0.3 	5.7 	5.9 	4.5 	4.2 	4.6 	2.6 	1.2 	-2.7 	: 
PCH_PRE,NL	1.0 	-0.2 	-0.8 	2.0 	: 	-2.9 	2.4 	4.4 	4.0 	2.3 	1.9 	0.3 	-0.1 	1.6 	4.5 
PCH_PRE,NL1	-4.5 	2.2 	-1.0 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL11	-8.9 	4.4 	-0.2 	-2.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL12	-0.4 	-1.0 	-2.3 	4.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL13	0.7 	1.3 	-1.2 	1.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL2	1.5 	-0.8 	-2.4 	3.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL21	1.4 	-1.1 	-3.1 	3.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL22	1.5 	-0.7 	-2.3 	3.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL23	2.2 	-1.2 	-0.7 	2.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL3	1.6 	-0.1 	-0.2 	1.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL31	2.0 	0.1 	-1.0 	1.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL32	1.5 	0.7 	-0.3 	3.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL33	1.7 	-0.9 	0.3 	-0.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL34	0.7 	-1.7 	-1.5 	1.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL4	1.7 	-0.7 	-0.5 	3.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL41	1.9 	-0.9 	-0.3 	3.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NL42	1.3 	-0.4 	-1.2 	2.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NLZ	-4.6 	-4.6 	-2.5 	-10.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NLZZ	-4.6 	-4.6 	-2.5 	-10.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PCH_PRE,NO	2.3 	0.9 	2.7 	0.7 	0.3 	-1.8 	0.6 	2.4 	1.9 	2.5 	3.7 	0.8 	1.1 	1.9 	3.2 
PCH_PRE,PL	: 	1.3 	1.6 	5.0 	3.8 	2.9 	3.8 	7.3 	6.2 	3.4 	5.5 	3.4 	2.0 	1.3 	4.3 
PCH_PRE,PL1	: 	2.4 	2.0 	4.7 	4.8 	5.1 	4.0 	8.3 	7.5 	5.1 	5.1 	: 	: 	: 	: 
PCH_PRE,PL11	: 	0.8 	2.1 	4.9 	4.2 	1.8 	5.0 	6.6 	6.3 	3.0 	5.3 	: 	: 	: 	: 
PCH_PRE,PL12	: 	2.9 	1.9 	4.7 	5.0 	6.0 	3.6 	8.9 	7.8 	5.8 	5.0 	: 	: 	: 	: 
PCH_PRE,PL2	: 	0.7 	1.2 	5.6 	3.5 	1.9 	5.5 	7.6 	8.0 	1.7 	4.7 	: 	: 	: 	: 
PCH_PRE,PL21	: 	1.3 	1.5 	6.1 	2.4 	3.3 	5.3 	5.1 	4.5 	3.9 	7.3 	: 	: 	: 	: 
PCH_PRE,PL22	: 	0.4 	1.0 	5.3 	4.2 	1.0 	5.6 	9.1 	10.0 	0.5 	3.2 	: 	: 	: 	: 
PCH_PRE,PL3	: 	1.4 	0.8 	4.8 	3.3 	1.4 	4.4 	6.2 	5.3 	2.8 	4.1 	: 	: 	: 	: 
PCH_PRE,PL31	: 	1.6 	1.8 	5.4 	3.8 	1.1 	4.7 	6.4 	4.7 	1.8 	2.9 	: 	: 	: 	: 
PCH_PRE,PL32	: 	2.4 	0.7 	5.8 	3.7 	1.5 	5.2 	5.1 	5.6 	5.6 	5.8 	: 	: 	: 	: 
PCH_PRE,PL33	: 	-1.2 	0.0 	3.2 	2.6 	-0.6 	5.2 	7.4 	7.8 	0.2 	5.0 	: 	: 	: 	: 
PCH_PRE,PL34	: 	2.3 	0.5 	4.0 	2.7 	4.0 	1.5 	6.1 	3.1 	2.6 	2.0 	: 	: 	: 	: 
PCH_PRE,PL4	: 	1.3 	2.2 	4.7 	2.6 	3.0 	2.4 	5.0 	4.8 	3.6 	8.3 	: 	: 	: 	: 
PCH_PRE,PL41	: 	1.8 	2.7 	5.4 	2.2 	3.7 	2.5 	5.5 	4.2 	3.1 	10.1 	: 	: 	: 	: 
PCH_PRE,PL42	: 	0.3 	0.9 	3.5 	3.1 	3.2 	1.3 	3.4 	5.7 	3.2 	4.0 	: 	: 	: 	: 
PCH_PRE,PL43	: 	0.4 	2.3 	3.8 	3.0 	0.1 	4.3 	5.8 	5.3 	6.4 	8.8 	: 	: 	: 	: 
PCH_PRE,PL5	: 	0.2 	1.7 	5.7 	4.7 	1.4 	2.9 	9.1 	3.1 	3.9 	3.8 	: 	: 	: 	: 
PCH_PRE,PL51	: 	0.2 	2.0 	5.9 	5.2 	2.1 	3.9 	9.4 	2.6 	5.5 	3.2 	: 	: 	: 	: 
PCH_PRE,PL52	: 	0.5 	0.4 	4.7 	2.6 	-0.9 	-0.5 	7.9 	4.5 	-1.3 	5.8 	: 	: 	: 	: 
PCH_PRE,PL6	: 	1.0 	1.5 	4.6 	3.2 	2.6 	2.7 	6.8 	5.5 	2.8 	6.8 	: 	: 	: 	: 
PCH_PRE,PL61	: 	1.4 	0.6 	3.7 	3.3 	-0.9 	3.2 	7.3 	6.9 	2.4 	6.9 	: 	: 	: 	: 
PCH_PRE,PL62	: 	0.5 	0.1 	4.1 	3.2 	2.9 	3.7 	4.2 	4.1 	1.8 	3.8 	: 	: 	: 	: 
PCH_PRE,PL63	: 	0.8 	2.8 	5.6 	3.2 	5.5 	1.9 	7.6 	5.1 	3.7 	8.3 	: 	: 	: 	: 
PCH_PRE,PT	0.6 	-0.8 	-3.2 	-1.1 	1.8 	-2.5 	0.6 	2.8 	1.6 	0.5 	1.7 	-0.8 	0.7 	2.2 	3.7 
PCH_PRE,PT1	0.6 	-0.7 	-3.1 	-1.1 	1.9 	-2.6 	0.5 	2.9 	1.5 	0.4 	1.6 	-0.8 	0.5 	2.3 	: 
PCH_PRE,PT11	0.7 	0.0 	-2.3 	-0.6 	2.6 	-3.2 	0.9 	3.7 	1.6 	1.1 	0.7 	-2.3 	-0.8 	3.4 	: 
PCH_PRE,PT15	0.7 	-1.6 	-2.2 	-2.6 	0.2 	-5.8 	0.4 	3.2 	2.8 	2.2 	0.5 	0.6 	1.2 	5.1 	: 
PCH_PRE,PT16	0.5 	-1.2 	-2.6 	-0.9 	1.1 	-2.4 	-1.2 	2.4 	1.6 	-0.3 	1.6 	0.5 	-0.7 	1.9 	: 
PCH_PRE,PT17	0.7 	-0.8 	-3.8 	-1.5 	1.8 	-1.6 	1.3 	2.6 	1.3 	0.5 	2.6 	-0.7 	2.0 	1.7 	: 
PCH_PRE,PT18	0.4 	-2.1 	-4.9 	-1.0 	2.4 	-4.3 	-1.0 	2.4 	2.0 	-1.6 	1.2 	0.2 	1.1 	0.5 	: 
PCH_PRE,PT2	0.7 	-1.3 	-2.7 	-1.2 	1.9 	-1.7 	3.0 	2.7 	2.0 	1.8 	1.5 	-0.1 	3.5 	5.7 	: 
PCH_PRE,PT20	0.7 	-1.3 	-2.7 	-1.2 	1.9 	-1.7 	3.0 	2.7 	2.0 	1.8 	1.5 	-0.1 	3.5 	5.7 	: 
PCH_PRE,PT3	0.2 	-1.0 	-7.7 	-0.7 	0.9 	-3.1 	1.2 	1.5 	2.6 	2.2 	5.7 	0.2 	9.1 	-0.2 	: 
PCH_PRE,PT30	0.2 	-1.0 	-7.7 	-0.7 	0.9 	-3.1 	1.2 	1.5 	2.6 	2.2 	5.7 	0.2 	9.1 	-0.2 	: 
PCH_PRE,PTZ	-3.2 	-17.2 	-18.4 	-8.5 	-0.7 	207.3 	-15.5 	-25.4 	-18.4 	-24.1 	-18.3 	-24.3 	-22.7 	-19.4 	: 
PCH_PRE,PTZZ	-3.2 	-17.2 	-18.4 	-8.5 	-0.7 	207.3 	-15.5 	-25.4 	-18.4 	-24.1 	-18.3 	-24.3 	-22.7 	-19.4 	: 
PCH_PRE,RO	2.8 	3.5 	2.2 	0.4 	-1.5 	-4.6 	6.9 	7.5 	6.3 	3.7 	6.5 	4.6 	6.7 	3.2 	3.1 
PCH_PRE,SE	2.2 	1.3 	-0.1 	2.9 	6.2 	-5.8 	-0.3 	3.4 	4.8 	2.7 	4.6 	2.4 	1.9 	1.4 	5.3 
PCH_PRE,SI	3.8 	-0.7 	-2.4 	0.3 	1.3 	-7.3 	2.9 	7.1 	5.9 	3.9 	4.3 	3.0 	4.2 	3.6 	4.6 
PCH_PRE,SI0	3.8 	-0.7 	-2.4 	0.3 	1.3 	-7.3 	2.9 	7.1 	5.9 	3.9 	4.3 	3.0 	4.2 	3.6 	4.6 
PCH_PRE,SI03	3.7 	-0.7 	-2.6 	1.1 	1.3 	-8.3 	2.8 	6.7 	5.1 	3.6 	4.5 	0.6 	4.3 	2.5 	: 
PCH_PRE,SI04	3.9 	-0.7 	-2.2 	-0.2 	1.3 	-6.6 	3.0 	7.4 	6.5 	4.0 	4.3 	5.0 	4.2 	4.5 	: 
PCH_PRE,SK	2.6 	2.4 	4.3 	2.7 	4.0 	-2.7 	7.3 	14.3 	13.0 	12.1 	10.3 	8.9 	9.5 	14.5 	7.8 
PCH_PRE,SK0	2.6 	2.4 	4.3 	2.7 	4.0 	-2.7 	7.3 	14.3 	13.0 	12.1 	10.3 	8.9 	9.5 	14.5 	7.8 
PCH_PRE,SK01	1.7 	4.4 	3.3 	2.0 	4.2 	3.2 	6.0 	15.8 	8.4 	22.6 	11.0 	9.5 	10.8 	14.1 	8.2 
PCH_PRE,SK02	2.6 	1.2 	3.9 	3.5 	5.1 	-5.2 	3.6 	14.0 	19.3 	10.2 	12.2 	9.6 	9.0 	10.8 	7.9 
PCH_PRE,SK03	2.7 	2.4 	4.7 	0.9 	2.9 	-3.6 	11.0 	15.7 	13.1 	5.5 	8.1 	8.1 	10.1 	17.0 	8.2 
PCH_PRE,SK04	4.0 	1.7 	5.8 	4.4 	2.9 	-5.2 	11.5 	11.8 	9.4 	8.9 	8.9 	8.2 	8.1 	18.4 	6.7 
PCH_PRE,UK	: 	2.2 	1.0 	1.9 	1.8 	-4.4 	-0.2 	2.6 	2.6 	3.3 	2.3 	3.4 	2.2 	2.4 	3.9 
PCH_PRE,UKC	: 	-2.7 	1.8 	1.3 	0.7 	-3.2 	-0.1 	-0.8 	2.9 	3.3 	7.8 	3.7 	5.2 	2.8 	0.3 
PCH_PRE,UKC1	: 	1.7 	1.3 	-0.1 	0.0 	-0.7 	0.0 	1.0 	1.4 	1.7 	6.3 	6.8 	3.3 	2.1 	-0.5 
PCH_PRE,UKC2	: 	-5.8 	2.2 	2.4 	1.2 	-5.0 	-0.1 	-2.0 	3.9 	4.3 	8.8 	1.5 	6.7 	3.4 	0.7 
PCH_PRE,UKD	: 	2.1 	0.9 	0.0 	3.7 	-2.7 	-2.6 	2.3 	2.7 	4.8 	3.2 	4.3 	2.7 	5.7 	-0.4 
PCH_PRE,UKD1	: 	-0.4 	3.3 	-1.7 	7.4 	-5.9 	-0.9 	1.3 	9.1 	0.5 	1.5 	13.4 	1.9 	-4.9 	3.1 
PCH_PRE,UKD3	: 	4.8 	2.1 	-1.4 	2.4 	-3.8 	-1.1 	3.5 	2.4 	7.0 	1.9 	2.4 	4.7 	4.3 	0.6 
PCH_PRE,UKD4	: 	-0.7 	1.8 	1.7 	6.4 	-6.6 	-6.2 	5.3 	0.7 	0.6 	4.4 	5.4 	3.8 	2.7 	-2.2 
PCH_PRE,UKD6	: 	4.8 	-5.2 	2.7 	7.4 	-1.7 	-3.7 	2.5 	-0.3 	8.7 	4.8 	0.0 	-1.0 	12.9 	0.8 
PCH_PRE,UKD7	: 	-1.9 	2.4 	-0.6 	-0.3 	2.9 	-1.4 	-2.3 	5.7 	3.2 	3.3 	8.3 	1.0 	9.8 	-2.6 
PCH_PRE,UKE	: 	1.5 	-0.5 	1.1 	0.0 	-7.4 	-1.4 	3.3 	3.3 	2.2 	5.2 	3.6 	5.0 	4.3 	1.5 
PCH_PRE,UKE1	: 	-0.4 	-2.3 	-2.6 	-4.5 	-8.9 	2.4 	0.3 	6.8 	3.8 	3.0 	6.0 	4.0 	5.1 	6.7 
PCH_PRE,UKE2	: 	3.0 	-5.6 	4.1 	0.3 	-7.0 	-2.2 	1.1 	2.1 	2.8 	5.6 	4.3 	8.4 	5.5 	-0.4 
PCH_PRE,UKE3	: 	1.6 	3.6 	0.1 	3.8 	-7.1 	-7.0 	7.7 	3.3 	0.4 	4.7 	2.8 	5.7 	8.2 	2.5 
PCH_PRE,UKE4	: 	1.7 	0.0 	2.1 	0.1 	-7.3 	0.4 	3.2 	2.2 	2.4 	6.2 	2.7 	4.0 	1.9 	-0.5 
PCH_PRE,UKF	: 	3.3 	1.2 	2.5 	2.0 	-3.3 	-2.1 	3.5 	1.6 	3.8 	3.7 	3.9 	2.9 	0.9 	3.2 
PCH_PRE,UKF1	: 	4.8 	0.0 	3.5 	2.5 	-3.2 	-1.8 	2.0 	-0.4 	4.1 	6.3 	3.2 	4.1 	-0.2 	0.9 
PCH_PRE,UKF2	: 	1.4 	2.1 	-0.2 	2.6 	-2.7 	-3.2 	5.6 	4.5 	3.6 	3.9 	3.4 	1.6 	0.6 	5.6 
PCH_PRE,UKF3	: 	4.4 	2.6 	7.6 	-1.8 	-5.1 	0.6 	2.3 	0.4 	3.4 	-4.5 	7.2 	2.8 	5.5 	4.7 
PCH_PRE,UKG	: 	3.5 	0.0 	3.6 	5.1 	-5.0 	-1.8 	0.4 	1.3 	1.8 	4.6 	2.0 	2.9 	2.0 	1.7 
PCH_PRE,UKG1	: 	6.3 	1.2 	7.6 	4.3 	-1.3 	-1.2 	-4.6 	5.1 	1.9 	2.7 	5.3 	2.1 	-1.0 	4.0 
PCH_PRE,UKG2	: 	3.4 	-2.0 	7.0 	4.8 	-7.9 	-1.0 	1.8 	-0.6 	2.8 	5.3 	1.1 	4.9 	4.9 	0.7 
PCH_PRE,UKG3	: 	2.0 	0.4 	-0.1 	5.6 	-5.2 	-2.4 	2.1 	0.6 	1.2 	5.3 	0.9 	2.3 	2.0 	1.1 
PCH_PRE,UKH	: 	3.7 	0.1 	0.3 	1.8 	-5.3 	-0.2 	1.2 	1.3 	4.1 	0.0 	5.4 	1.4 	2.6 	6.1 
PCH_PRE,UKH1	: 	2.6 	1.3 	3.6 	1.1 	-3.5 	-1.1 	-1.4 	7.2 	3.7 	1.9 	1.7 	2.5 	2.0 	6.9 
PCH_PRE,UKH2	: 	9.5 	-1.7 	-2.5 	-1.1 	-5.7 	1.4 	3.7 	-3.5 	5.8 	-0.2 	6.1 	0.4 	0.4 	7.2 
PCH_PRE,UKH3	: 	-1.6 	0.6 	-1.1 	7.0 	-7.7 	-0.4 	1.8 	-1.0 	2.8 	-2.6 	10.3 	0.9 	6.4 	3.5 
PCH_PRE,UKI	: 	2.9 	2.5 	4.2 	1.3 	-5.0 	-0.3 	5.7 	5.5 	4.5 	1.1 	2.9 	0.1 	2.0 	7.3 
PCH_PRE,UKI3	: 	3.9 	3.0 	3.4 	3.0 	-5.7 	2.9 	7.6 	4.9 	5.7 	1.4 	3.9 	0.3 	3.5 	8.1 
PCH_PRE,UKI4	: 	3.3 	1.4 	6.7 	1.5 	-2.2 	1.4 	7.3 	5.7 	6.3 	1.5 	4.7 	0.6 	1.7 	10.2 
PCH_PRE,UKI5	: 	1.0 	-0.6 	1.3 	5.3 	-9.6 	-4.0 	2.4 	5.3 	0.8 	0.9 	1.4 	0.4 	0.2 	2.5 
PCH_PRE,UKI6	: 	1.6 	1.2 	2.7 	-4.6 	-2.8 	-3.8 	1.6 	4.4 	1.5 	0.4 	2.4 	-0.4 	0.8 	3.6 
PCH_PRE,UKI7	: 	1.3 	4.5 	4.8 	-1.6 	-6.2 	-5.8 	3.1 	7.5 	3.0 	0.1 	-0.2 	-0.3 	1.2 	6.9 
PCH_PRE,UKJ	: 	2.4 	1.4 	2.1 	2.3 	-3.3 	2.4 	1.6 	2.0 	2.8 	0.1 	3.2 	3.5 	0.8 	3.9 
PCH_PRE,UKJ1	: 	2.5 	4.1 	3.0 	0.0 	-2.2 	2.9 	1.1 	2.5 	2.6 	-2.7 	6.3 	2.8 	2.0 	6.2 
PCH_PRE,UKJ2	: 	2.4 	-0.8 	1.1 	2.5 	-3.9 	3.7 	-0.7 	4.9 	4.5 	-1.3 	1.9 	2.2 	-1.6 	2.9 
PCH_PRE,UKJ3	: 	3.7 	1.5 	0.6 	4.6 	-2.2 	0.1 	4.3 	1.8 	0.9 	4.8 	2.4 	4.0 	2.4 	6.1 
PCH_PRE,UKJ4	: 	0.5 	0.0 	3.7 	4.1 	-5.2 	1.5 	4.0 	-4.2 	2.2 	3.7 	-0.1 	6.7 	1.5 	-2.1 
PCH_PRE,UKK	: 	-0.4 	3.3 	0.1 	3.2 	-2.0 	0.3 	2.0 	0.3 	1.3 	3.4 	3.9 	2.3 	3.6 	4.3 
PCH_PRE,UKK1	: 	-0.6 	4.9 	-1.3 	4.9 	-2.0 	1.1 	6.0 	-1.1 	1.1 	2.5 	2.3 	3.1 	5.0 	5.6 
PCH_PRE,UKK2	: 	-2.6 	4.6 	0.0 	-1.3 	-0.9 	1.1 	-1.8 	2.4 	1.2 	5.0 	2.8 	-0.7 	0.3 	4.0 
PCH_PRE,UKK3	: 	-0.2 	-0.6 	4.6 	1.2 	-4.4 	1.2 	-2.2 	0.8 	4.8 	-2.1 	12.1 	4.1 	2.5 	8.6 
PCH_PRE,UKK4	: 	2.6 	-1.1 	2.6 	4.6 	-2.0 	-3.9 	-2.0 	1.5 	0.4 	7.2 	5.8 	3.5 	3.3 	0.2 
PCH_PRE,UKL	: 	2.8 	-0.6 	7.2 	0.5 	-0.3 	-2.9 	1.6 	2.2 	4.0 	4.3 	4.4 	3.8 	1.0 	4.5 
PCH_PRE,UKL1	: 	4.4 	-0.7 	6.7 	0.9 	-2.1 	-1.1 	0.5 	1.5 	3.2 	4.9 	4.4 	4.6 	1.1 	3.5 
PCH_PRE,UKL2	: 	0.9 	-0.4 	7.8 	0.1 	1.9 	-4.8 	2.8 	3.1 	5.1 	3.5 	4.5 	2.6 	0.9 	5.9 
PCH_PRE,UKM	: 	4.0 	2.2 	2.4 	-0.2 	-5.0 	4.5 	1.7 	3.6 	4.0 	4.0 	2.8 	1.5 	5.2 	3.5 
PCH_PRE,UKM2	: 	4.0 	2.1 	-0.5 	0.8 	-4.3 	3.0 	1.4 	1.6 	2.6 	2.6 	4.5 	4.7 	2.6 	5.7 
PCH_PRE,UKM3	: 	3.2 	0.0 	2.0 	-1.3 	-6.0 	4.8 	-1.3 	3.2 	5.5 	4.5 	1.2 	0.3 	6.3 	2.6 
PCH_PRE,UKM5	: 	5.4 	9.5 	6.8 	-1.7 	-2.8 	7.2 	11.2 	13.1 	4.2 	4.9 	-1.0 	-1.6 	8.3 	2.3 
PCH_PRE,UKM6	: 	5.4 	0.0 	11.0 	3.3 	-6.6 	4.8 	3.0 	0.9 	2.0 	6.7 	9.9 	-2.5 	7.3 	-0.3 
PCH_PRE,UKN	: 	0.7 	-0.8 	0.5 	-1.2 	-7.2 	-2.2 	4.6 	3.7 	7.7 	0.6 	8.2 	0.5 	2.0 	6.8 
PCH_PRE,UKN0	: 	0.7 	-0.8 	0.5 	-1.2 	-7.2 	-2.2 	4.6 	3.7 	7.7 	0.6 	8.2 	0.5 	2.0 	6.8 
PCH_PRE,UKZ	: 	-8.6 	-14.2 	-17.3 	-6.5 	-7.7 	-4.9 	-3.5 	-8.4 	-10.1 	-7.7 	-6.3 	0.2 	-5.5 	-2.4 
PCH_PRE,UKZZ	: 	-8.6 	-14.2 	-17.3 	-6.5 	-7.7 	-4.9 	-3.5 	-8.4 	-10.1 	-7.7 	-6.3 	0.2 	-5.5 	-2.4 
