"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_POP";"AT";19.2
"T";"TOTAL";"PC_POP";"BE";21.2
"T";"TOTAL";"PC_POP";"BE1";NA
"T";"TOTAL";"PC_POP";"BE2";NA
"T";"TOTAL";"PC_POP";"BE3";NA
"T";"TOTAL";"PC_POP";"BG";40.1
"T";"TOTAL";"PC_POP";"BG3";44
"T";"TOTAL";"PC_POP";"BG31";46.1
"T";"TOTAL";"PC_POP";"BG32";43.7
"T";"TOTAL";"PC_POP";"BG33";45.6
"T";"TOTAL";"PC_POP";"BG34";41.2
"T";"TOTAL";"PC_POP";"BG4";36.1
"T";"TOTAL";"PC_POP";"BG41";28.6
"T";"TOTAL";"PC_POP";"BG42";46.9
"T";"TOTAL";"PC_POP";"CY";27.4
"T";"TOTAL";"PC_POP";"CZ";14.8
"T";"TOTAL";"PC_POP";"CZ01";10.2
"T";"TOTAL";"PC_POP";"CZ02";9.8
"T";"TOTAL";"PC_POP";"CZ03";12.5
"T";"TOTAL";"PC_POP";"CZ04";21.9
"T";"TOTAL";"PC_POP";"CZ05";14
"T";"TOTAL";"PC_POP";"CZ06";12.8
"T";"TOTAL";"PC_POP";"CZ07";17
"T";"TOTAL";"PC_POP";"CZ08";22.5
"T";"TOTAL";"PC_POP";"DE";20.6
"T";"TOTAL";"PC_POP";"DK";17.9
"T";"TOTAL";"PC_POP";"DK01";18.4
"T";"TOTAL";"PC_POP";"DK02";18.1
"T";"TOTAL";"PC_POP";"DK03";17.7
"T";"TOTAL";"PC_POP";"DK04";18.1
"T";"TOTAL";"PC_POP";"DK05";16.5
"T";"TOTAL";"PC_POP";"EE";26
"T";"TOTAL";"PC_POP";"EL";36
"T";"TOTAL";"PC_POP";"EL3";31.6
"T";"TOTAL";"PC_POP";"EL4";39.4
"T";"TOTAL";"PC_POP";"EL5";36.7
"T";"TOTAL";"PC_POP";"EL6";40.6
"T";"TOTAL";"PC_POP";"ES";29.2
"T";"TOTAL";"PC_POP";"ES1";24.2
"T";"TOTAL";"PC_POP";"ES11";23.8
"T";"TOTAL";"PC_POP";"ES12";23.4
"T";"TOTAL";"PC_POP";"ES13";27.4
"T";"TOTAL";"PC_POP";"ES2";17.2
"T";"TOTAL";"PC_POP";"ES21";15.3
"T";"TOTAL";"PC_POP";"ES22";14.5
"T";"TOTAL";"PC_POP";"ES23";20.1
"T";"TOTAL";"PC_POP";"ES24";20.7
"T";"TOTAL";"PC_POP";"ES3";19.2
"T";"TOTAL";"PC_POP";"ES30";19.2
"T";"TOTAL";"PC_POP";"ES4";32.7
"T";"TOTAL";"PC_POP";"ES41";26.1
"T";"TOTAL";"PC_POP";"ES42";36.9
"T";"TOTAL";"PC_POP";"ES43";39.8
"T";"TOTAL";"PC_POP";"ES5";26.7
"T";"TOTAL";"PC_POP";"ES51";21.8
"T";"TOTAL";"PC_POP";"ES52";34.7
"T";"TOTAL";"PC_POP";"ES53";23.8
"T";"TOTAL";"PC_POP";"ES6";42.6
"T";"TOTAL";"PC_POP";"ES61";42.3
"T";"TOTAL";"PC_POP";"ES62";44.9
"T";"TOTAL";"PC_POP";"ES63";47.9
"T";"TOTAL";"PC_POP";"ES64";25.8
"T";"TOTAL";"PC_POP";"ES7";37
"T";"TOTAL";"PC_POP";"ES70";37
"T";"TOTAL";"PC_POP";"FI";17.3
"T";"TOTAL";"PC_POP";"FI1";17.2
"T";"TOTAL";"PC_POP";"FI1B";12.6
"T";"TOTAL";"PC_POP";"FI1C";18
"T";"TOTAL";"PC_POP";"FI1D";21.6
"T";"TOTAL";"PC_POP";"FI2";20.2
"T";"TOTAL";"PC_POP";"FR";18.5
"T";"TOTAL";"PC_POP";"HR";29.3
"T";"TOTAL";"PC_POP";"HU";31.8
"T";"TOTAL";"PC_POP";"HU1";29.1
"T";"TOTAL";"PC_POP";"HU2";27.8
"T";"TOTAL";"PC_POP";"HU3";36.9
"T";"TOTAL";"PC_POP";"IE";27.5
"T";"TOTAL";"PC_POP";"IE01";30.9
"T";"TOTAL";"PC_POP";"IE02";26.2
"T";"TOTAL";"PC_POP";"IT";28.3
"T";"TOTAL";"PC_POP";"ITC";19.1
"T";"TOTAL";"PC_POP";"ITC1";18.8
"T";"TOTAL";"PC_POP";"ITC2";17.5
"T";"TOTAL";"PC_POP";"ITC3";26.5
"T";"TOTAL";"PC_POP";"ITC4";18.1
"T";"TOTAL";"PC_POP";"ITF";43.4
"T";"TOTAL";"PC_POP";"ITF1";29.5
"T";"TOTAL";"PC_POP";"ITF2";40.7
"T";"TOTAL";"PC_POP";"ITF3";49
"T";"TOTAL";"PC_POP";"ITF4";40.6
"T";"TOTAL";"PC_POP";"ITF5";39.6
"T";"TOTAL";"PC_POP";"ITF6";43.5
"T";"TOTAL";"PC_POP";"ITG";50.3
"T";"TOTAL";"PC_POP";"ITG1";54.4
"T";"TOTAL";"PC_POP";"ITG2";37.7
"T";"TOTAL";"PC_POP";"ITH";16.2
"T";"TOTAL";"PC_POP";"ITH1";9.7
"T";"TOTAL";"PC_POP";"ITH2";13.6
"T";"TOTAL";"PC_POP";"ITH3";16.9
"T";"TOTAL";"PC_POP";"ITH4";16.3
"T";"TOTAL";"PC_POP";"ITH5";16.4
"T";"TOTAL";"PC_POP";"ITI";22.1
"T";"TOTAL";"PC_POP";"ITI1";19.2
"T";"TOTAL";"PC_POP";"ITI2";21.9
"T";"TOTAL";"PC_POP";"ITI3";19.6
"T";"TOTAL";"PC_POP";"ITI4";24.7
"T";"TOTAL";"PC_POP";"LT";27.3
"T";"TOTAL";"PC_POP";"LU";19
"T";"TOTAL";"PC_POP";"LV";32.7
"T";"TOTAL";"PC_POP";"MT";23.8
"T";"TOTAL";"PC_POP";"NL";16.5
"T";"TOTAL";"PC_POP";"NL1";15.8
"T";"TOTAL";"PC_POP";"NL2";16.3
"T";"TOTAL";"PC_POP";"NL3";17.9
"T";"TOTAL";"PC_POP";"NL4";13.9
"T";"TOTAL";"PC_POP";"PL";24.7
"T";"TOTAL";"PC_POP";"PL1";22.6
"T";"TOTAL";"PC_POP";"PL2";21.7
"T";"TOTAL";"PC_POP";"PL3";29.1
"T";"TOTAL";"PC_POP";"PL4";24
"T";"TOTAL";"PC_POP";"PL5";24.1
"T";"TOTAL";"PC_POP";"PL6";27.5
"T";"TOTAL";"PC_POP";"PT";27.5
"T";"TOTAL";"PC_POP";"RO";40.3
"T";"TOTAL";"PC_POP";"RO1";33.8
"T";"TOTAL";"PC_POP";"RO11";32.1
"T";"TOTAL";"PC_POP";"RO12";35.7
"T";"TOTAL";"PC_POP";"RO2";51.1
"T";"TOTAL";"PC_POP";"RO21";49.4
"T";"TOTAL";"PC_POP";"RO22";53.2
"T";"TOTAL";"PC_POP";"RO3";34.7
"T";"TOTAL";"PC_POP";"RO31";41.7
"T";"TOTAL";"PC_POP";"RO32";25.1
"T";"TOTAL";"PC_POP";"RO4";40.5
"T";"TOTAL";"PC_POP";"RO41";40.9
"T";"TOTAL";"PC_POP";"RO42";40.1
"T";"TOTAL";"PC_POP";"SE";16.9
"T";"TOTAL";"PC_POP";"SE1";14.5
"T";"TOTAL";"PC_POP";"SE11";12.8
"T";"TOTAL";"PC_POP";"SE12";16.5
"T";"TOTAL";"PC_POP";"SE2";18.3
"T";"TOTAL";"PC_POP";"SE21";19.3
"T";"TOTAL";"PC_POP";"SE22";18.7
"T";"TOTAL";"PC_POP";"SE23";17.7
"T";"TOTAL";"PC_POP";"SE3";19.1
"T";"TOTAL";"PC_POP";"SE31";20.1
"T";"TOTAL";"PC_POP";"SE32";21.1
"T";"TOTAL";"PC_POP";"SE33";16.2
"T";"TOTAL";"PC_POP";"SI";20.4
"T";"TOTAL";"PC_POP";"SK";18.4
"T";"TOTAL";"PC_POP";"SK01";16.5
"T";"TOTAL";"PC_POP";"SK02";15.4
"T";"TOTAL";"PC_POP";"SK03";20.2
"T";"TOTAL";"PC_POP";"SK04";21
"T";"TOTAL";"PC_POP";"UK";24.1
